trial_id,min_energy_random8of24_eV,proxy_best_energy_top8_eV,delta_random_min_minus_proxybest_eV,resample_base,pool_n,budget_k,seed
0,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
1,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
2,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
3,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
4,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
5,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
6,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
7,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
8,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
9,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
10,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
11,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
12,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
13,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
14,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
15,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
16,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
17,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
18,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
19,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
20,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
21,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
22,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
23,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
24,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
25,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
26,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
27,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
28,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
29,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
30,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
31,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
32,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
33,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
34,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
35,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
36,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
37,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
38,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
39,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
40,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
41,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
42,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
43,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
44,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
45,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
46,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
47,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
48,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
49,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
50,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
51,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
52,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
53,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
54,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
55,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
56,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
57,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
58,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
59,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
60,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
61,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
62,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
63,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
64,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
65,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
66,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
67,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
68,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
69,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
70,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
71,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
72,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
73,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
74,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
75,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
76,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
77,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
78,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
79,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
80,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
81,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
82,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
83,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
84,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
85,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
86,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
87,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
88,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
89,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
90,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
91,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
92,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
93,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
94,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
95,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
96,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
97,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
98,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
99,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
100,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
101,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
102,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
103,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
104,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
105,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
106,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
107,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
108,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
109,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
110,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
111,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
112,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
113,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
114,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
115,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
116,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
117,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
118,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
119,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
120,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
121,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
122,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
123,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
124,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
125,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
126,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
127,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
128,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
129,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
130,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
131,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
132,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
133,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
134,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
135,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
136,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
137,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
138,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
139,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
140,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
141,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
142,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
143,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
144,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
145,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
146,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
147,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
148,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
149,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
150,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
151,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
152,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
153,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
154,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
155,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
156,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
157,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
158,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
159,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
160,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
161,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
162,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
163,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
164,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
165,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
166,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
167,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
168,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
169,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
170,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
171,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
172,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
173,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
174,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
175,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
176,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
177,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
178,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
179,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
180,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
181,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
182,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
183,-1154.7509765625,-1155.0416259765625,0.2906494140625,all_24,24,8,0
184,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
185,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
186,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
187,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
188,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
189,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
190,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
191,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
192,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
193,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
194,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
195,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
196,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
197,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
198,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
199,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
200,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
201,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
202,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
203,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
204,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
205,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
206,-1154.6373291015625,-1155.0416259765625,0.404296875,all_24,24,8,0
207,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
208,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
209,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
210,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
211,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
212,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
213,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
214,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
215,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
216,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
217,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
218,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
219,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
220,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
221,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
222,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
223,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
224,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
225,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
226,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
227,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
228,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
229,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
230,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
231,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
232,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
233,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
234,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
235,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
236,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
237,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
238,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
239,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
240,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
241,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
242,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
243,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
244,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
245,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
246,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
247,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
248,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
249,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
250,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
251,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
252,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
253,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
254,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
255,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
256,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
257,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
258,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
259,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
260,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
261,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
262,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
263,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
264,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
265,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
266,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
267,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
268,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
269,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
270,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
271,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
272,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
273,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
274,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
275,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
276,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
277,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
278,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
279,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
280,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
281,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
282,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
283,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
284,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
285,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
286,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
287,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
288,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
289,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
290,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
291,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
292,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
293,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
294,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
295,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
296,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
297,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
298,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
299,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
300,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
301,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
302,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
303,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
304,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
305,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
306,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
307,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
308,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
309,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
310,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
311,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
312,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
313,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
314,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
315,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
316,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
317,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
318,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
319,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
320,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
321,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
322,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
323,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
324,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
325,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
326,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
327,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
328,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
329,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
330,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
331,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
332,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
333,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
334,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
335,-1154.7509765625,-1155.0416259765625,0.2906494140625,all_24,24,8,0
336,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
337,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
338,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
339,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
340,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
341,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
342,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
343,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
344,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
345,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
346,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
347,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
348,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
349,-1154.99267578125,-1155.0416259765625,0.0489501953125,all_24,24,8,0
350,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
351,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
352,-1155.039306640625,-1155.0416259765625,0.0023193359375,all_24,24,8,0
353,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
354,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
355,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
356,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
357,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
358,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
359,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
360,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
361,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
362,-1154.9429931640625,-1155.0416259765625,0.0986328125,all_24,24,8,0
363,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
364,-1155.0416259765625,-1155.0416259765625,0.0,all_24,24,8,0
