case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_025,fgw_distance_megn_050,fgw_distance_megn_075,fgw_distance_cgnf_050,fgw_distance_magp_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
1,0.071,0.071,-3.1,-2.6,0.384107505329 ,0.261010180119 ,0.137912854910 ,0.243093619134 ,0.255391640717 ,-1119.067871093750 ,-1127.471557617180 ,-1112.48095500 ,237
2,0.071,0.214,-3.1,-2.6,0.384691139607 ,0.261399269638 ,0.138107399669 ,0.245260693339 ,0.257787914152 ,-1118.878784179680 ,-1127.344360351560 ,-1111.91657444 ,233
3,0.071,0.357,-3.1,-2.6,0.384938364055 ,0.261564085936 ,0.138189807818 ,0.245684396770 ,0.258399614877 ,-1118.869262695310 ,-1127.321777343750 ,-1112.24596968 ,189
4,0.071,0.5,-3.1,-2.6,0.384441516569 ,0.261232854279 ,0.138024191990 ,0.244095474910 ,0.256800198793 ,-1119.074951171870 ,-1127.336791992180 ,-1111.70324011 ,143
5,0.071,0.643,-3.1,-2.6,0.384508113092 ,0.261277251961 ,0.138046390831 ,0.244365070147 ,0.256916398522 ,-1118.981689453120 ,-1127.411010742180 ,-1111.30513357 ,64
6,0.071,0.786,-3.1,-2.6,0.384066824323 ,0.260983059449 ,0.137899294574 ,0.243337958260 ,0.255647517049 ,-1119.065917968750 ,-1127.289306640620 ,-1112.15582118 ,193
7,0.071,0.929,-3.1,-2.6,0.384074701865 ,0.260988311144 ,0.137901920422 ,0.243783699059 ,0.255839199658 ,-1118.995605468750 ,-1127.195922851560 ,-1112.00360869 ,170
8,0.214,0.071,-3.1,-2.6,0.384441516569 ,0.261232854279 ,0.138024191990 ,0.244095474910 ,0.256800198793 ,-1119.074951171870 ,-1127.336791992180 ,-1111.70444132 ,133
9,0.214,0.214,-3.1,-2.6,0.384508113092 ,0.261277251961 ,0.138046390831 ,0.244365070147 ,0.256916398522 ,-1118.981689453120 ,-1127.379394531250 ,-1111.30571897 ,64
10,0.214,0.357,-3.1,-2.6,0.384066824323 ,0.260983059449 ,0.137899294574 ,0.243337958260 ,0.255647517049 ,-1119.065917968750 ,-1127.289428710930 ,-1112.15550160 ,186
11,0.214,0.5,-3.1,-2.6,0.384074701865 ,0.260988311144 ,0.137901920422 ,0.243783699059 ,0.255839199658 ,-1118.995605468750 ,-1127.195800781250 ,-1112.00203267 ,161
12,0.214,0.643,-3.1,-2.6,0.384107505329 ,0.261010180119 ,0.137912854910 ,0.243093619134 ,0.255391640717 ,-1119.067871093750 ,-1127.471557617180 ,-1112.47996136 ,228
13,0.214,0.786,-3.1,-2.6,0.384691139607 ,0.261399269638 ,0.138107399669 ,0.245260693339 ,0.257787914152 ,-1118.878784179680 ,-1127.344238281250 ,-1111.78251598 ,202
14,0.214,0.929,-3.1,-2.6,0.384938364055 ,0.261564085936 ,0.138189807818 ,0.245684396770 ,0.258399614877 ,-1118.869262695310 ,-1127.321777343750 ,-1112.24520867 ,196
15,0.357,0.071,-3.1,-2.6,0.384074701865 ,0.260988311144 ,0.137901920422 ,0.243783699059 ,0.255839199658 ,-1118.995605468750 ,-1127.195800781250 ,-1112.00290947 ,157
16,0.357,0.214,-3.1,-2.6,0.384107505329 ,0.261010180119 ,0.137912854910 ,0.243093619134 ,0.255391640717 ,-1119.067871093750 ,-1127.471557617180 ,-1112.48416271 ,222
17,0.357,0.357,-3.1,-2.6,0.384691139607 ,0.261399269638 ,0.138107399669 ,0.245260693339 ,0.257787914152 ,-1118.878784179680 ,-1127.344238281250 ,-1111.91721133 ,236
18,0.357,0.5,-3.1,-2.6,0.384938364055 ,0.261564085936 ,0.138189807818 ,0.245684396770 ,0.258399614877 ,-1118.869262695310 ,-1127.321777343750 ,-1112.24478914 ,205
19,0.357,0.643,-3.1,-2.6,0.384441516569 ,0.261232854279 ,0.138024191990 ,0.244095474910 ,0.256800198793 ,-1119.074951171870 ,-1127.336791992180 ,-1111.70049323 ,137
20,0.357,0.786,-3.1,-2.6,0.384508113092 ,0.261277251961 ,0.138046390831 ,0.244365070147 ,0.256916398522 ,-1118.981689453120 ,-1127.411010742180 ,-1111.30618543 ,65
21,0.357,0.929,-3.1,-2.6,0.384066824323 ,0.260983059449 ,0.137899294574 ,0.243337958260 ,0.255647517049 ,-1119.065917968750 ,-1127.289428710930 ,-1112.15568071 ,179
22,0.5,0.071,-3.1,-2.6,0.384938364055 ,0.261564085936 ,0.138189807818 ,0.245684396770 ,0.258399614877 ,-1118.869262695310 ,-1127.321777343750 ,-1112.24168065 ,197
23,0.5,0.214,-3.1,-2.6,0.384441516569 ,0.261232854279 ,0.138024191990 ,0.244095474910 ,0.256800198793 ,-1119.075073242180 ,-1127.336791992180 ,-1111.70248485 ,137
24,0.5,0.357,-3.1,-2.6,0.384508113092 ,0.261277251961 ,0.138046390831 ,0.244365070147 ,0.256916398522 ,-1118.981689453120 ,-1127.411010742180 ,-1111.30528771 ,62
25,0.5,0.5,-3.1,-2.6,0.384066824323 ,0.260983059449 ,0.137899294574 ,0.243337958260 ,0.255647517049 ,-1119.065917968750 ,-1127.289428710930 ,-1112.15546617 ,180
26,0.5,0.643,-3.1,-2.6,0.384074701865 ,0.260988311144 ,0.137901920422 ,0.243783699059 ,0.255839199658 ,-1118.995605468750 ,-1127.195922851560 ,-1112.00260286 ,163
27,0.5,0.786,-3.1,-2.6,0.384107505329 ,0.261010180119 ,0.137912854910 ,0.243093619134 ,0.255391640717 ,-1119.067871093750 ,-1127.471557617180 ,-1112.48469226 ,228
