case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_025,fgw_distance_megn_050,fgw_distance_megn_075,fgw_distance_cgnf_050,fgw_distance_magp_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
1,0.071,0.071,-2.7,-2.4,0.275992955064 ,0.183995303379 ,0.091997651691 ,0.275863593094 ,0.303379931982 ,-967.103576660156 ,-977.990295410156 ,-948.51673632 ,114
2,0.071,0.214,-2.7,-2.4,0.272134547209 ,0.181423031475 ,0.090711515739 ,0.273330893095 ,0.298799060309 ,-967.128967285156 ,-978.170532226562 ,-948.08256482 ,99
3,0.071,0.357,-2.7,-2.4,0.272687948417 ,0.181791965614 ,0.090895982809 ,0.273680872308 ,0.299253403034 ,-967.139465332031 ,-978.126708984375 ,-948.62150840 ,119
4,0.071,0.5,-2.7,-2.4,0.271209533133 ,0.180806355424 ,0.090403177714 ,0.272610249827 ,0.297564997253 ,-967.143188476562 ,-978.587097167969 ,-948.74162604 ,143
5,0.071,0.643,-2.7,-2.4,0.275272101029 ,0.183514734022 ,0.091757367013 ,0.275407820747 ,0.302587625776 ,-967.104003906250 ,-977.939392089844 ,-948.17009679 ,89
6,0.071,0.786,-2.7,-2.4,0.272564382500 ,0.181709588336 ,0.090854794170 ,0.273503287851 ,0.299163988455 ,-967.131347656250 ,-978.557617187500 ,-948.51011541 ,175
7,0.071,0.929,-2.7,-2.4,0.270304721796 ,0.180203147867 ,0.090101573935 ,0.271935261205 ,0.296365570474 ,-967.156738281250 ,-978.538879394531 ,-949.22391943 ,250
8,0.214,0.071,-2.7,-2.4,0.272532876692 ,0.181688584464 ,0.090844292234 ,0.273511423022 ,0.299162331905 ,-967.132690429688 ,-977.980346679688 ,-948.57335014 ,115
9,0.214,0.214,-2.7,-2.4,0.271415999408 ,0.180943999608 ,0.090471999806 ,0.272749398558 ,0.297724793373 ,-967.148071289062 ,-978.176452636719 ,-948.59886956 ,123
10,0.214,0.357,-2.7,-2.4,0.272677278626 ,0.181784852420 ,0.090892426212 ,0.273644329752 ,0.299435290784 ,-967.123718261719 ,-978.121398925781 ,-949.04421204 ,169
