case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
1,0.071,0.071,-2.7,-2.4,0.183995303379 ,-967.103393554688 ,-977.995483398438 ,-948.51673632 ,114
2,0.071,0.214,-2.7,-2.4,0.181423031475 ,-967.129028320312 ,-978.170349121094 ,-948.08256482 ,99
3,0.071,0.357,-2.7,-2.4,0.181791965614 ,-967.139465332031 ,-978.127075195312 ,-948.62150840 ,119
4,0.071,0.5,-2.7,-2.4,0.180806355424 ,-967.143005371094 ,-978.583435058594 ,-948.74162604 ,143
5,0.071,0.643,-2.7,-2.4,0.183514734022 ,-967.104003906250 ,-977.939331054688 ,-948.17009679 ,89
6,0.071,0.786,-2.7,-2.4,0.181709588336 ,-967.131408691406 ,-978.585510253906 ,-948.51011541 ,175
7,0.071,0.929,-2.7,-2.4,0.180203147867 ,-967.156738281250 ,-978.539062500000 ,-949.22391943 ,250
8,0.214,0.071,-2.7,-2.4,0.181688584464 ,-967.132629394531 ,-977.977661132812 ,-948.57335014 ,115
9,0.214,0.214,-2.7,-2.4,0.180943999608 ,-967.148071289062 ,-978.169189453125 ,-948.59886956 ,123
10,0.214,0.357,-2.7,-2.4,0.181784852420 ,-967.123779296875 ,-978.121337890625 ,-949.04421204 ,169
11,0.214,0.5,-2.7,-2.4,0.183999648575 ,-967.103088378906 ,-978.352661132812 ,-948.51942568 ,161
12,0.214,0.643,-2.7,-2.4,0.179979471444 ,-967.160278320312 ,-978.388244628906 ,-949.13763612 ,218
13,0.214,0.786,-2.7,-2.4,0.182650283268 ,-967.122436523438 ,-978.336486816406 ,-948.58648626 ,123
14,0.214,0.929,-2.7,-2.4,0.182357716872 ,-967.115661621094 ,-978.189758300781 ,-948.18339134 ,109
15,0.357,0.071,-2.7,-2.4,0.180478532434 ,-967.147033691406 ,-978.529296875000 ,-949.05120556 ,249
16,0.357,0.214,-2.7,-2.4,0.184746300955 ,-967.095153808594 ,-977.953247070312 ,-948.14426708 ,118
17,0.357,0.357,-2.7,-2.4,0.180785349677 ,-967.142089843750 ,-978.573059082031 ,-948.78189119 ,153
18,0.357,0.5,-2.7,-2.4,0.180969727362 ,-967.147460937500 ,-978.529663085938 ,-949.44056140 ,190
19,0.357,0.643,-2.7,-2.4,0.182889521518 ,-967.113037109375 ,-977.957397460938 ,-948.64929540 ,156
20,0.357,0.786,-2.7,-2.4,0.181832678730 ,-967.124633789062 ,-978.157775878906 ,-948.63992489 ,157
21,0.357,0.929,-2.7,-2.4,0.181811422443 ,-967.139038085938 ,-978.353820800781 ,-948.56826083 ,145
22,0.5,0.071,-2.7,-2.4,0.182868026184 ,-967.111938476562 ,-978.621398925781 ,-947.92685600 ,96
23,0.5,0.214,-2.7,-2.4,0.180199536819 ,-967.157104492188 ,-978.183837890625 ,-949.44015871 ,227
24,0.5,0.357,-2.7,-2.4,0.182623348357 ,-967.123291015625 ,-978.185729980469 ,-948.58857992 ,120
25,0.5,0.5,-2.7,-2.4,0.181947970573 ,-967.120727539062 ,-978.951843261719 ,-948.03120611 ,74
