case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_025,fgw_distance_megn_050,fgw_distance_megn_075,fgw_distance_cgnf_050,fgw_distance_magp_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
1,0.071,0.071,-1.4,-1.3,0.331554436120 ,0.221036290750 ,0.110518145381 ,0.223051252575 ,0.168357819534 ,-488.148681640625 ,-489.054626464844 ,-487.34724330 ,27
2,0.071,0.214,-1.4,-1.3,0.331205164550 ,0.220803443037 ,0.110401721524 ,0.222258710536 ,0.168032163029 ,-488.148254394531 ,-489.075073242188 ,-487.34475841 ,27
3,0.071,0.357,-1.4,-1.3,0.331707752299 ,0.221138501536 ,0.110569250774 ,0.223165117252 ,0.168342775006 ,-488.148010253906 ,-489.058929443359 ,-487.35195292 ,31
4,0.071,0.5,-1.4,-1.3,0.331253603047 ,0.220835735368 ,0.110417867690 ,0.222467235837 ,0.168100394274 ,-488.148315429688 ,-489.070983886719 ,-487.34600351 ,27
5,0.071,0.643,-1.4,-1.3,0.330833319547 ,0.220555546368 ,0.110277773190 ,0.223325863162 ,0.168420405109 ,-488.146728515625 ,-489.081359863281 ,-487.35406552 ,29
6,0.071,0.786,-1.4,-1.3,0.331058653425 ,0.220705768953 ,0.110352884483 ,0.223230698803 ,0.168362101599 ,-488.146820068359 ,-489.080108642578 ,-487.35361782 ,30
7,0.071,0.929,-1.4,-1.3,0.331554436120 ,0.221036290750 ,0.110518145381 ,0.223051252575 ,0.168357819534 ,-488.148681640625 ,-489.054626464844 ,-487.34738568 ,26
8,0.214,0.071,-1.4,-1.3,0.331058653425 ,0.220705768953 ,0.110352884483 ,0.223230698803 ,0.168362101599 ,-488.146820068359 ,-489.080078125000 ,-487.35357292 ,30
9,0.214,0.214,-1.4,-1.3,0.331302835465 ,0.220868556980 ,0.110434278496 ,0.222867152947 ,0.168208987840 ,-488.147521972656 ,-489.073181152344 ,-487.34438653 ,27
10,0.214,0.357,-1.4,-1.3,0.331991161305 ,0.221327440873 ,0.110663720443 ,0.223615096422 ,0.168677785361 ,-488.149261474609 ,-489.051696777344 ,-487.34872514 ,27
