case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
1,0.071,0.071,-1.4,-1.3,0.221036290750 ,-488.148620605469 ,-489.054931640625 ,-487.34724330 ,27
2,0.071,0.214,-1.4,-1.3,0.220803443037 ,-488.148254394531 ,-489.075134277344 ,-487.34475841 ,27
3,0.071,0.357,-1.4,-1.3,0.221138501536 ,-488.148254394531 ,-489.058868408203 ,-487.35195292 ,31
4,0.071,0.5,-1.4,-1.3,0.220835735368 ,-488.148620605469 ,-489.071044921875 ,-487.34600351 ,27
5,0.071,0.643,-1.4,-1.3,0.220555546368 ,-488.146942138672 ,-489.081634521484 ,-487.35406552 ,29
6,0.071,0.786,-1.4,-1.3,0.220705768953 ,-488.146789550781 ,-489.080017089844 ,-487.35361782 ,30
9,0.214,0.214,-1.4,-1.3,0.220868556980 ,-488.147460937500 ,-489.073120117188 ,-487.34438653 ,27
10,0.214,0.357,-1.4,-1.3,0.221327440873 ,-488.149475097656 ,-489.052001953125 ,-487.34872514 ,27
11,0.214,0.5,-1.4,-1.3,0.221135332822 ,-488.148956298828 ,-489.054992675781 ,-487.34754025 ,27
12,0.214,0.643,-1.4,-1.3,0.220705511587 ,-488.147705078125 ,-489.075866699219 ,-487.35073456 ,30
17,0.357,0.357,-1.4,-1.3,0.220884539479 ,-488.148254394531 ,-489.070159912109 ,-487.34654082 ,27
18,0.357,0.5,-1.4,-1.3,0.220939077220 ,-488.147705078125 ,-489.072814941406 ,-487.35180089 ,30
25,0.5,0.5,-1.4,-1.3,0.220517431291 ,-488.146514892578 ,-489.073913574219 ,-487.35582060 ,31
