shift_a,shift_b,shift_c,fgw_distance,relaxed_energy
0.000,0.000,-2.600,0.246044439286,-1127.019165039062
0.000,0.042,-2.600,0.244620399364,-1127.246459960938
0.000,0.083,-2.600,0.242840288065,-1127.345825195312
0.000,0.125,-2.600,0.243478760243,-1127.335815429688
0.000,0.167,-2.600,0.244046964067,-1127.151611328125
0.000,0.208,-2.600,0.244509626150,-1127.439941406250
0.000,0.250,-2.600,0.244533558922,-1127.351074218750
0.000,0.292,-2.600,0.243732853192,-1127.362182617188
0.000,0.333,-2.600,0.243600108882,-1127.090942382812
0.000,0.375,-2.600,0.242998838846,-1127.350219726562
0.000,0.417,-2.600,0.242327987162,-1127.427734375000
0.000,0.458,-2.600,0.242845410581,-1127.439819335938
0.000,0.500,-2.600,0.242664708534,-1127.289550781250
0.000,0.542,-2.600,0.243262320321,-1127.283691406250
0.000,0.583,-2.600,0.243761943094,-1127.286865234375
0.000,0.625,-2.600,0.242701071658,-1127.442626953125
0.000,0.667,-2.600,0.242346565527,-1127.483886718750
0.000,0.708,-2.600,0.242374412941,-1127.444213867188
0.000,0.750,-2.600,0.243694401544,-1127.412841796875
0.000,0.792,-2.600,0.245028344543,-1127.250244140625
0.000,0.833,-2.600,0.243489226038,-1127.393310546875
0.000,0.875,-2.600,0.242224288673,-1127.446044921875
0.000,0.917,-2.600,0.243250463664,-1127.345092773438
0.000,0.958,-2.600,0.244920000548,-1127.183349609375
0.042,0.000,-2.600,0.244920000548,-1127.183349609375
0.042,0.042,-2.600,0.242784940295,-1127.359619140625
0.042,0.083,-2.600,0.242445814259,-1127.379028320312
0.042,0.125,-2.600,0.243903390282,-1127.382080078125
0.042,0.167,-2.600,0.245526588514,-1127.368530273438
0.042,0.208,-2.600,0.245840692683,-1126.974243164062
0.042,0.250,-2.600,0.243891219525,-1127.181152343750
0.042,0.292,-2.600,0.242998838846,-1127.350219726562
0.042,0.333,-2.600,0.243732853192,-1127.362182617188
0.042,0.375,-2.600,0.243891219525,-1127.181274414062
0.042,0.417,-2.600,0.244354127029,-1127.361450195312
0.042,0.458,-2.600,0.244130005567,-1127.437866210938
0.042,0.500,-2.600,0.243579312017,-1127.328613281250
0.042,0.542,-2.600,0.243542660896,-1127.331787109375
0.042,0.583,-2.600,0.242576597280,-1127.460327148438
0.042,0.625,-2.600,0.242374412941,-1127.444335937500
0.042,0.667,-2.600,0.242701071658,-1127.442626953125
0.042,0.708,-2.600,0.242576597280,-1127.460327148438
0.042,0.750,-2.600,0.243681139015,-1127.353149414062
0.042,0.792,-2.600,0.243583504977,-1127.350830078125
0.042,0.833,-2.600,0.242492799454,-1127.467895507812
0.042,0.875,-2.600,0.242361519337,-1127.479858398438
0.042,0.917,-2.600,0.242784940295,-1127.359741210938
0.042,0.958,-2.600,0.244620399364,-1127.246459960938
0.083,0.000,-2.600,0.243250463664,-1127.345092773438
0.083,0.042,-2.600,0.242361519337,-1127.479858398438
0.083,0.083,-2.600,0.242480396450,-1127.462890625000
0.083,0.125,-2.600,0.243555686719,-1127.384277343750
0.083,0.167,-2.600,0.245307745049,-1126.995361328125
0.083,0.208,-2.600,0.244354127029,-1127.361450195312
0.083,0.250,-2.600,0.242327987162,-1127.427612304688
0.083,0.292,-2.600,0.242958798718,-1127.409790039062
0.083,0.333,-2.600,0.244533558922,-1127.350952148438
0.083,0.375,-2.600,0.245840692683,-1126.974243164062
0.083,0.417,-2.600,0.245307745049,-1126.995361328125
0.083,0.458,-2.600,0.243406218364,-1127.220214843750
0.083,0.500,-2.600,0.243338626445,-1127.343017578125
0.083,0.542,-2.600,0.243681139015,-1127.353271484375
0.083,0.583,-2.600,0.243694401544,-1127.412841796875
0.083,0.625,-2.600,0.244157516681,-1127.378417968750
0.083,0.667,-2.600,0.243761943094,-1127.286254882812
0.083,0.708,-2.600,0.243542660896,-1127.331787109375
0.083,0.750,-2.600,0.243338626445,-1127.343017578125
0.083,0.792,-2.600,0.242293038416,-1127.379760742188
0.083,0.833,-2.600,0.242480396450,-1127.462768554688
0.083,0.875,-2.600,0.242445814259,-1127.379028320312
0.083,0.917,-2.600,0.242840288065,-1127.345825195312
0.083,0.958,-2.600,0.244035315389,-1127.210571289062
0.125,0.000,-2.600,0.242224288673,-1127.446044921875
0.125,0.042,-2.600,0.242492799454,-1127.467895507812
0.125,0.083,-2.600,0.242293038416,-1127.379760742188
0.125,0.125,-2.600,0.243406218364,-1127.220214843750
0.125,0.167,-2.600,0.244130005567,-1127.342041015625
0.125,0.208,-2.600,0.242845410581,-1127.439697265625
0.125,0.250,-2.600,0.242347812244,-1127.479736328125
0.125,0.292,-2.600,0.242836298334,-1127.427490234375
0.125,0.333,-2.600,0.244509626150,-1127.439819335938
0.125,0.375,-2.600,0.245526588514,-1127.368530273438
0.125,0.417,-2.600,0.243555686719,-1127.384277343750
0.125,0.458,-2.600,0.242293038416,-1127.379882812500
0.125,0.500,-2.600,0.243583504977,-1127.350830078125
0.125,0.542,-2.600,0.245028344543,-1127.250488281250
0.125,0.583,-2.600,0.245828472522,-1127.273681640625
0.125,0.625,-2.600,0.244636156573,-1127.132080078125
0.125,0.667,-2.600,0.243262320321,-1127.283691406250
0.125,0.708,-2.600,0.243579312017,-1127.328613281250
0.125,0.750,-2.600,0.243406218364,-1127.220214843750
0.125,0.792,-2.600,0.243555686719,-1127.384277343750
0.125,0.833,-2.600,0.243903390282,-1127.382080078125
0.125,0.875,-2.600,0.243478760243,-1127.335937500000
0.125,0.917,-2.600,0.243569138799,-1127.084350585938
0.125,0.958,-2.600,0.243005030381,-1127.366943359375
0.167,0.000,-2.600,0.243489226038,-1127.393310546875
0.167,0.042,-2.600,0.243583504977,-1127.350830078125
0.167,0.083,-2.600,0.243338626445,-1127.343017578125
0.167,0.125,-2.600,0.243579312017,-1127.328613281250
0.167,0.167,-2.600,0.242664708534,-1127.289428710938
0.167,0.208,-2.600,0.242291890858,-1127.468872070312
0.167,0.250,-2.600,0.242362727388,-1127.462158203125
0.167,0.292,-2.600,0.242480551308,-1127.382690429688
0.167,0.333,-2.600,0.244046964067,-1127.150512695312
0.167,0.375,-2.600,0.243903390282,-1127.382080078125
0.167,0.417,-2.600,0.242480396450,-1127.462768554688
0.167,0.458,-2.600,0.242492799454,-1127.467895507812
0.167,0.500,-2.600,0.243489226038,-1127.393310546875
0.167,0.542,-2.600,0.245357718834,-1127.267822265625
0.167,0.583,-2.600,0.245214698681,-1127.290771484375
0.167,0.625,-2.600,0.242841489373,-1127.459472656250
0.167,0.667,-2.600,0.242664708534,-1127.289428710938
0.167,0.708,-2.600,0.244130005567,-1127.437866210938
0.167,0.750,-2.600,0.245307745049,-1126.995483398438
0.167,0.792,-2.600,0.245526588514,-1127.368530273438
0.167,0.833,-2.600,0.244046964067,-1127.150390625000
0.167,0.875,-2.600,0.243376564250,-1127.096679687500
0.167,0.917,-2.600,0.243551846661,-1127.321166992188
0.167,0.958,-2.600,0.243072258484,-1127.473510742188
0.208,0.000,-2.600,0.245028344543,-1127.250366210938
0.208,0.042,-2.600,0.243681139015,-1127.353149414062
0.208,0.083,-2.600,0.243542660896,-1127.329101562500
0.208,0.125,-2.600,0.243262320321,-1127.283691406250
0.208,0.167,-2.600,0.242841489373,-1127.459594726562
0.208,0.208,-2.600,0.243419905119,-1127.405761718750
0.208,0.250,-2.600,0.243244214787,-1127.377197265625
0.208,0.292,-2.600,0.243376564250,-1127.096679687500
0.208,0.333,-2.600,0.243478760243,-1127.335937500000
0.208,0.375,-2.600,0.242445814259,-1127.379028320312
0.208,0.417,-2.600,0.242361519337,-1127.479736328125
0.208,0.458,-2.600,0.242224288673,-1127.445800781250
0.208,0.500,-2.600,0.243072258484,-1127.473510742188
0.208,0.542,-2.600,0.244486389183,-1127.366333007812
0.208,0.583,-2.600,0.243419905119,-1127.405761718750
0.208,0.625,-2.600,0.242291890858,-1127.468750000000
0.208,0.667,-2.600,0.242845410581,-1127.439697265625
0.208,0.708,-2.600,0.244354127029,-1127.361572265625
0.208,0.750,-2.600,0.245840692683,-1126.974243164062
0.208,0.792,-2.600,0.244509626150,-1127.439941406250
0.208,0.833,-2.600,0.242480551308,-1127.382690429688
0.208,0.875,-2.600,0.243244214787,-1127.377319335938
0.208,0.917,-2.600,0.244486389183,-1127.366333007812
0.208,0.958,-2.600,0.245357718834,-1127.267822265625
0.250,0.000,-2.600,0.243694401544,-1127.412963867188
0.250,0.042,-2.600,0.242576597280,-1127.460327148438
0.250,0.083,-2.600,0.243761943094,-1127.286865234375
0.250,0.125,-2.600,0.244636156573,-1127.132202148438
0.250,0.167,-2.600,0.245214698681,-1127.290893554688
0.250,0.208,-2.600,0.244486389183,-1127.366210937500
0.250,0.250,-2.600,0.243551846661,-1127.321289062500
0.250,0.292,-2.600,0.243569138799,-1127.084350585938
0.250,0.333,-2.600,0.242840288065,-1127.345825195312
0.250,0.375,-2.600,0.242784940295,-1127.359741210938
0.250,0.417,-2.600,0.243250463664,-1127.344970703125
0.250,0.458,-2.600,0.243005030381,-1127.367065429688
0.250,0.500,-2.600,0.243551846661,-1127.321289062500
0.250,0.542,-2.600,0.243244214787,-1127.377197265625
0.250,0.583,-2.600,0.242362727388,-1127.462158203125
0.250,0.625,-2.600,0.242347812244,-1127.479858398438
0.250,0.667,-2.600,0.242327987162,-1127.427734375000
0.250,0.708,-2.600,0.243891219525,-1127.181274414062
0.250,0.750,-2.600,0.244533558922,-1127.351074218750
0.250,0.792,-2.600,0.242836298334,-1127.427368164062
0.250,0.833,-2.600,0.242362727388,-1127.462280273438
0.250,0.875,-2.600,0.243419905119,-1127.405761718750
0.250,0.917,-2.600,0.245214698681,-1127.290893554688
0.250,0.958,-2.600,0.245828472522,-1127.273681640625
0.292,0.000,-2.600,0.242374412941,-1127.444335937500
0.292,0.042,-2.600,0.242701071658,-1127.442626953125
0.292,0.083,-2.600,0.244157516681,-1127.378417968750
0.292,0.125,-2.600,0.245828472522,-1127.273681640625
0.292,0.167,-2.600,0.245357718834,-1127.267822265625
0.292,0.208,-2.600,0.243072258484,-1127.473510742188
0.292,0.250,-2.600,0.243005030381,-1127.366943359375
0.292,0.292,-2.600,0.244035315389,-1127.210449218750
0.292,0.333,-2.600,0.244620399364,-1127.246459960938
0.292,0.375,-2.600,0.244920000548,-1127.183349609375
0.292,0.417,-2.600,0.244035315389,-1127.210449218750
0.292,0.458,-2.600,0.243569138799,-1127.083740234375
0.292,0.500,-2.600,0.243376564250,-1127.097290039062
0.292,0.542,-2.600,0.242480551308,-1127.382690429688
0.292,0.583,-2.600,0.242836298334,-1127.427490234375
0.292,0.625,-2.600,0.242958798718,-1127.409790039062
0.292,0.667,-2.600,0.242998838846,-1127.350341796875
0.292,0.708,-2.600,0.243732853192,-1127.362060546875
0.292,0.750,-2.600,0.242958798718,-1127.409790039062
0.292,0.792,-2.600,0.242347812244,-1127.479736328125
0.292,0.833,-2.600,0.242291890858,-1127.468872070312
0.292,0.875,-2.600,0.242841489373,-1127.459594726562
0.292,0.917,-2.600,0.244636156573,-1127.132080078125
0.292,0.958,-2.600,0.244157516681,-1127.378417968750
0.333,0.000,-2.600,0.242346565527,-1127.483886718750
0.333,0.042,-2.600,0.242374412941,-1127.444335937500
0.333,0.083,-2.600,0.243694401544,-1127.412841796875
0.333,0.125,-2.600,0.245028344543,-1127.250488281250
0.333,0.167,-2.600,0.243489226038,-1127.393310546875
0.333,0.208,-2.600,0.242224288673,-1127.445922851562
0.333,0.250,-2.600,0.243250463664,-1127.345092773438
0.333,0.292,-2.600,0.244920000548,-1127.184448242188
0.333,0.333,-2.600,0.246044439286,-1127.019287109375
0.333,0.375,-2.600,0.244620399364,-1127.246337890625
0.333,0.417,-2.600,0.242840288065,-1127.345703125000
0.333,0.458,-2.600,0.243478760243,-1127.335815429688
0.333,0.500,-2.600,0.244046964067,-1127.151611328125
0.333,0.542,-2.600,0.244509626150,-1127.439941406250
0.333,0.583,-2.600,0.244533558922,-1127.350952148438
0.333,0.625,-2.600,0.243732853192,-1127.362182617188
0.333,0.667,-2.600,0.243600108882,-1127.091552734375
0.333,0.708,-2.600,0.242998838846,-1127.350219726562
0.333,0.750,-2.600,0.242327987162,-1127.427734375000
0.333,0.792,-2.600,0.242845410581,-1127.439819335938
0.333,0.833,-2.600,0.242664708534,-1127.289550781250
0.333,0.875,-2.600,0.243262320321,-1127.283691406250
0.333,0.917,-2.600,0.243761943094,-1127.286254882812
0.333,0.958,-2.600,0.242701071658,-1127.442626953125
0.375,0.000,-2.600,0.242701071658,-1127.442626953125
0.375,0.042,-2.600,0.242576597280,-1127.460327148438
0.375,0.083,-2.600,0.243681139015,-1127.353271484375
0.375,0.125,-2.600,0.243583504977,-1127.350952148438
0.375,0.167,-2.600,0.242492799454,-1127.467895507812
0.375,0.208,-2.600,0.242361519337,-1127.479858398438
0.375,0.250,-2.600,0.242784940295,-1127.359741210938
0.375,0.292,-2.600,0.244620399364,-1127.246459960938
0.375,0.333,-2.600,0.244920000548,-1127.183349609375
0.375,0.375,-2.600,0.242784940295,-1127.359619140625
0.375,0.417,-2.600,0.242445814259,-1127.379028320312
0.375,0.458,-2.600,0.243903390282,-1127.382080078125
0.375,0.500,-2.600,0.245526588514,-1127.368530273438
0.375,0.542,-2.600,0.245840692683,-1126.974243164062
0.375,0.583,-2.600,0.243891219525,-1127.181152343750
0.375,0.625,-2.600,0.242998838846,-1127.350341796875
0.375,0.667,-2.600,0.243732853192,-1127.362182617188
0.375,0.708,-2.600,0.243891219525,-1127.181152343750
0.375,0.750,-2.600,0.244354127029,-1127.361450195312
0.375,0.792,-2.600,0.244130005567,-1127.437866210938
0.375,0.833,-2.600,0.243579312017,-1127.328613281250
0.375,0.875,-2.600,0.243542660896,-1127.331787109375
0.375,0.917,-2.600,0.242576597280,-1127.460327148438
0.375,0.958,-2.600,0.242374412941,-1127.444335937500
0.417,0.000,-2.600,0.243761943094,-1127.287353515625
0.417,0.042,-2.600,0.243542660896,-1127.329101562500
0.417,0.083,-2.600,0.243338626445,-1127.343017578125
0.417,0.125,-2.600,0.242293038416,-1127.379882812500
0.417,0.167,-2.600,0.242480396450,-1127.462890625000
0.417,0.208,-2.600,0.242445814259,-1127.379028320312
0.417,0.250,-2.600,0.242840288065,-1127.345703125000
0.417,0.292,-2.600,0.244035315389,-1127.210449218750
0.417,0.333,-2.600,0.243250463664,-1127.344970703125
0.417,0.375,-2.600,0.242361519337,-1127.479858398438
0.417,0.417,-2.600,0.242480396450,-1127.462890625000
0.417,0.458,-2.600,0.243555686719,-1127.384277343750
0.417,0.500,-2.600,0.245307745049,-1126.995361328125
0.417,0.542,-2.600,0.244354127029,-1127.361450195312
0.417,0.583,-2.600,0.242327987162,-1127.427612304688
0.417,0.625,-2.600,0.242958798718,-1127.409790039062
0.417,0.667,-2.600,0.244533558922,-1127.350952148438
0.417,0.708,-2.600,0.245840692683,-1126.974243164062
0.417,0.750,-2.600,0.245307745049,-1126.995483398438
0.417,0.792,-2.600,0.243406218364,-1127.220092773438
0.417,0.833,-2.600,0.243338626445,-1127.343017578125
0.417,0.875,-2.600,0.243681139015,-1127.353271484375
0.417,0.917,-2.600,0.243694401544,-1127.412963867188
0.417,0.958,-2.600,0.244157516681,-1127.378417968750
0.458,0.000,-2.600,0.243262320321,-1127.283691406250
0.458,0.042,-2.600,0.243579312017,-1127.328613281250
0.458,0.083,-2.600,0.243406218364,-1127.220092773438
0.458,0.125,-2.600,0.243555686719,-1127.385009765625
0.458,0.167,-2.600,0.243903390282,-1127.382080078125
0.458,0.208,-2.600,0.243478760243,-1127.335937500000
0.458,0.250,-2.600,0.243569138799,-1127.084350585938
0.458,0.292,-2.600,0.243005030381,-1127.367065429688
0.458,0.333,-2.600,0.242224288673,-1127.445922851562
0.458,0.375,-2.600,0.242492799454,-1127.467773437500
0.458,0.417,-2.600,0.242293038416,-1127.380004882812
0.458,0.458,-2.600,0.243406218364,-1127.220092773438
0.458,0.500,-2.600,0.244130005567,-1127.437866210938
0.458,0.542,-2.600,0.242845410581,-1127.439697265625
0.458,0.583,-2.600,0.242347812244,-1127.479858398438
0.458,0.625,-2.600,0.242836298334,-1127.427490234375
0.458,0.667,-2.600,0.244509626150,-1127.439941406250
0.458,0.708,-2.600,0.245526588514,-1127.368530273438
0.458,0.750,-2.600,0.243555686719,-1127.384277343750
0.458,0.792,-2.600,0.242293038416,-1127.379760742188
0.458,0.833,-2.600,0.243583504977,-1127.350952148438
0.458,0.875,-2.600,0.245028344543,-1127.250244140625
0.458,0.917,-2.600,0.245828472522,-1127.273681640625
0.458,0.958,-2.600,0.244636156573,-1127.132080078125
0.500,0.000,-2.600,0.242664708534,-1127.289550781250
0.500,0.042,-2.600,0.244130005567,-1127.437866210938
0.500,0.083,-2.600,0.245307745049,-1126.995483398438
0.500,0.125,-2.600,0.245526588514,-1127.368530273438
0.500,0.167,-2.600,0.244046964067,-1127.150512695312
0.500,0.208,-2.600,0.243376564250,-1127.097290039062
0.500,0.250,-2.600,0.243551846661,-1127.321289062500
0.500,0.292,-2.600,0.243072258484,-1127.473510742188
0.500,0.333,-2.600,0.243489226038,-1127.393310546875
0.500,0.375,-2.600,0.243583504977,-1127.350952148438
0.500,0.417,-2.600,0.243338626445,-1127.343139648438
0.500,0.458,-2.600,0.243579312017,-1127.328613281250
0.500,0.500,-2.600,0.242664708534,-1127.289428710938
0.500,0.542,-2.600,0.242291890858,-1127.468872070312
0.500,0.583,-2.600,0.242362727388,-1127.462158203125
0.500,0.625,-2.600,0.242480551308,-1127.382812500000
