shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn,fgw_distance_cgnf,fgw_distance_magp,mace_single_point_energy,mace_relaxed_energy
0.026,0.026,-2.7,-2.4,0.181176378746 ,0.273437543000 ,0.299020626587 ,-967.145141601562 ,-978.570434570312 
0.026,0.079,-2.7,-2.4,0.181454975220 ,0.273809892753 ,0.299633855933 ,-967.137329101562 ,-978.154113769531 
0.026,0.132,-2.7,-2.4,0.181524923463 ,0.273857614324 ,0.299731618720 ,-967.139343261719 ,-978.130310058594 
0.026,0.184,-2.7,-2.4,0.182619862160 ,0.274941323152 ,0.301679876750 ,-967.125488281250 ,-978.573181152344 
0.026,0.237,-2.7,-2.4,0.183990680642 ,0.276370008292 ,0.304204064882 ,-967.110656738281 ,-978.299438476562 
0.026,0.289,-2.7,-2.4,0.182556323777 ,0.274916521979 ,0.301553708744 ,-967.130554199219 ,-978.004943847656 
0.026,0.342,-2.7,-2.4,0.182618846676 ,0.274961575162 ,0.301774848987 ,-967.119934082031 ,-978.093933105469 
0.026,0.395,-2.7,-2.4,0.180644125242 ,0.272901776154 ,0.298033569800 ,-967.155578613281 ,-978.399597167969 
0.026,0.447,-2.7,-2.4,0.182380757697 ,0.274838133075 ,0.301420607353 ,-967.122985839844 ,-978.203247070312 
0.026,0.5,-2.7,-2.4,0.181336182312 ,0.273633702477 ,0.299261328701 ,-967.148559570312 ,-978.544677734375 
0.026,0.553,-2.7,-2.4,0.185104196892 ,0.277504431350 ,0.306286890578 ,-967.096496582031 ,-977.971801757812 
0.026,0.605,-2.7,-2.4,0.182174682964 ,0.274577936230 ,0.300782909433 ,-967.141540527344 ,-977.979797363281 
0.026,0.658,-2.7,-2.4,0.183804813472 ,0.276220781705 ,0.303991705517 ,-967.105712890625 ,-977.963745117188 
0.026,0.711,-2.7,-2.4,0.180531301181 ,0.272768950902 ,0.297789542251 ,-967.160156250000 ,-978.559082031250 
0.026,0.763,-2.7,-2.4,0.182417923204 ,0.274895356621 ,0.301510669153 ,-967.121337890625 ,-978.165771484375 
0.026,0.816,-2.7,-2.4,0.181001221003 ,0.273280850395 ,0.298668660766 ,-967.152709960938 ,-978.183166503906 
0.026,0.868,-2.7,-2.4,0.184407498156 ,0.276776955835 ,0.305013511393 ,-967.101928710938 ,-978.063476562500 
0.026,0.921,-2.7,-2.4,0.182687860409 ,0.275093226551 ,0.301744008171 ,-967.132507324219 ,-978.370544433594 
0.026,0.974,-2.7,-2.4,0.183535397422 ,0.275915769290 ,0.303446988826 ,-967.112060546875 ,-977.993774414062 
0.079,0.026,-2.7,-2.4,0.181903235350 ,0.274276303396 ,0.300291047081 ,-967.144042968750 ,-977.984863281250 
0.079,0.079,-2.7,-2.4,0.185323017681 ,0.277724508195 ,0.306672571188 ,-967.095214843750 ,-977.974365234375 
0.079,0.132,-2.7,-2.4,0.181694261561 ,0.274028400579 ,0.299913846556 ,-967.144531250000 ,-978.582885742188 
0.079,0.184,-2.7,-2.4,0.182652817215 ,0.275098206552 ,0.301911287207 ,-967.119567871094 ,-978.165039062500 
0.079,0.237,-2.7,-2.4,0.180608192938 ,0.272858143344 ,0.297962546930 ,-967.156188964844 ,-978.624694824219 
0.079,0.289,-2.7,-2.4,0.182263618712 ,0.274619022997 ,0.301138425524 ,-967.124145507812 ,-978.116455078125 
0.079,0.342,-2.7,-2.4,0.182190011887 ,0.274529474928 ,0.300894840041 ,-967.134277343750 ,-978.013366699219 
0.079,0.395,-2.7,-2.4,0.183997200413 ,0.276373281867 ,0.304209849022 ,-967.110473632812 ,-978.333007812500 
0.079,0.447,-2.7,-2.4,0.183013237721 ,0.275359475159 ,0.302391769905 ,-967.121887207031 ,-978.557617187500 
0.079,0.5,-2.7,-2.4,0.181828960921 ,0.274164384755 ,0.300286907298 ,-967.135375976562 ,-978.191040039062 
0.079,0.553,-2.7,-2.4,0.181492702183 ,0.273832789220 ,0.299696321609 ,-967.136474609375 ,-978.146728515625 
0.079,0.605,-2.7,-2.4,0.180968584749 ,0.273227271807 ,0.298643514295 ,-967.148071289062 ,-978.585754394531 
0.079,0.658,-2.7,-2.4,0.183079659835 ,0.275468056771 ,0.302634903667 ,-967.116516113281 ,-977.965087890625 
0.079,0.711,-2.7,-2.4,0.182542347903 ,0.274933176981 ,0.301477110792 ,-967.133666992188 ,-978.375610351562 
0.079,0.763,-2.7,-2.4,0.184786517176 ,0.277166032043 ,0.305690085670 ,-967.099487304688 ,-978.074462890625 
0.079,0.816,-2.7,-2.4,0.181311931817 ,0.273616731422 ,0.299234936840 ,-967.149047851562 ,-978.177246093750 
0.079,0.868,-2.7,-2.4,0.182579926949 ,0.275039445301 ,0.301798310662 ,-967.118835449219 ,-978.145080566406 
0.079,0.921,-2.7,-2.4,0.180449549305 ,0.272683318829 ,0.297642313429 ,-967.161499023438 ,-978.364746093750 
0.079,0.974,-2.7,-2.4,0.183334908103 ,0.275771665063 ,0.303158762022 ,-967.110473632812 ,-978.196960449219 
0.132,0.026,-2.7,-2.4,0.180748765899 ,0.273015084076 ,0.298229994511 ,-967.154174804688 ,-978.346984863281 
0.132,0.079,-2.7,-2.4,0.182210277769 ,0.274670712728 ,0.301109724889 ,-967.124755859375 ,-978.145812988281 
0.132,0.132,-2.7,-2.4,0.181015760079 ,0.273283138095 ,0.298677359946 ,-967.152099609375 ,-978.541076660156 
0.132,0.184,-2.7,-2.4,0.184713345940 ,0.277113335843 ,0.305596149492 ,-967.098999023438 ,-977.969543457031 
0.132,0.237,-2.7,-2.4,0.182327250328 ,0.274748012404 ,0.301058614420 ,-967.140075683594 ,-977.979492187500 
0.132,0.289,-2.7,-2.4,0.184320910714 ,0.276723554555 ,0.304905643407 ,-967.101379394531 ,-977.953979492188 
0.132,0.342,-2.7,-2.4,0.180684763578 ,0.272933455720 ,0.298068037037 ,-967.157836914062 ,-978.537719726562 
0.132,0.395,-2.7,-2.4,0.182368537740 ,0.274856365292 ,0.301424703390 ,-967.122131347656 ,-978.171386718750 
0.132,0.447,-2.7,-2.4,0.180761305510 ,0.273023275769 ,0.298229835904 ,-967.156066894531 ,-978.366943359375 
0.132,0.5,-2.7,-2.4,0.183930923300 ,0.276295067634 ,0.304164203817 ,-967.105834960938 ,-977.952026367188 
0.132,0.553,-2.7,-2.4,0.182676240686 ,0.275080381549 ,0.301727190112 ,-967.132568359375 ,-978.367004394531 
0.132,0.605,-2.7,-2.4,0.183973638470 ,0.276352545568 ,0.304225204705 ,-967.108032226562 ,-977.991149902344 
0.132,0.658,-2.7,-2.4,0.181470473504 ,0.273743661281 ,0.299555525664 ,-967.141235351562 ,-978.585876464844 
0.132,0.711,-2.7,-2.4,0.181515891817 ,0.273882512773 ,0.299752225001 ,-967.136901855469 ,-978.148559570312 
0.132,0.763,-2.7,-2.4,0.181299633660 ,0.273627719292 ,0.299315378630 ,-967.142150878906 ,-978.176330566406 
0.132,0.816,-2.7,-2.4,0.182202194705 ,0.274502280468 ,0.300923933642 ,-967.129943847656 ,-978.592407226562 
0.132,0.868,-2.7,-2.4,0.183802772088 ,0.276177535364 ,0.303873544449 ,-967.112304687500 ,-978.006347656250 
0.132,0.921,-2.7,-2.4,0.182852312133 ,0.275232101267 ,0.302083326100 ,-967.127624511719 ,-978.164001464844 
0.132,0.974,-2.7,-2.4,0.183053002647 ,0.275390755940 ,0.302552264048 ,-967.115356445312 ,-978.561767578125 
0.184,0.026,-2.7,-2.4,0.183818612916 ,0.276182335390 ,0.303884702720 ,-967.111633300781 ,-978.346069335938 
0.184,0.079,-2.7,-2.4,0.183319075980 ,0.275687215533 ,0.302946440183 ,-967.119323730469 ,-978.342041015625 
0.184,0.132,-2.7,-2.4,0.182196671778 ,0.274536279294 ,0.300952810293 ,-967.131103515625 ,-978.168640136719 
0.184,0.184,-2.7,-2.4,0.181632575107 ,0.273957976826 ,0.299946038681 ,-967.134216308594 ,-978.621398925781 
0.184,0.237,-2.7,-2.4,0.180849946704 ,0.273113560202 ,0.298430500478 ,-967.150024414062 ,-978.622314453125 
0.184,0.289,-2.7,-2.4,0.182660566016 ,0.275061292886 ,0.301884643063 ,-967.121093750000 ,-978.169677734375 
0.184,0.342,-2.7,-2.4,0.182267287566 ,0.274630648718 ,0.300975910435 ,-967.136230468750 ,-978.239013671875 
0.184,0.395,-2.7,-2.4,0.184996691937 ,0.277385172203 ,0.306067244797 ,-967.098327636719 ,-978.356628417969 
0.184,0.447,-2.7,-2.4,0.181663474059 ,0.273999505339 ,0.299873758967 ,-967.145202636719 ,-978.022338867188 
0.184,0.5,-2.7,-2.4,0.182854240494 ,0.275291324700 ,0.302286092595 ,-967.115478515625 ,-978.147460937500 
0.184,0.553,-2.7,-2.4,0.180424708329 ,0.272658576021 ,0.297598533572 ,-967.161865234375 ,-978.186401367188 
0.184,0.605,-2.7,-2.4,0.182951074647 ,0.275411269542 ,0.302477040320 ,-967.114624023438 ,-978.207641601562 
0.184,0.658,-2.7,-2.4,0.181564720823 ,0.273901588823 ,0.299676258697 ,-967.147705078125 ,-978.557434082031 
0.184,0.711,-2.7,-2.4,0.185322937498 ,0.277722025708 ,0.306670252920 ,-967.095153808594 ,-978.064331054688 
0.184,0.763,-2.7,-2.4,0.182037554516 ,0.274408393810 ,0.300539059987 ,-967.141174316406 ,-978.359313964844 
0.184,0.816,-2.7,-2.4,0.183019312874 ,0.275447128115 ,0.302567276684 ,-967.115417480469 ,-978.188659667969 
0.184,0.868,-2.7,-2.4,0.180639380022 ,0.272883651620 ,0.298014878062 ,-967.155273437500 ,-978.599243164062 
0.184,0.921,-2.7,-2.4,0.182008499843 ,0.274381154942 ,0.300681608702 ,-967.127746582031 ,-978.131286621094 
0.184,0.974,-2.7,-2.4,0.181810914598 ,0.274132937627 ,0.300209569489 ,-967.138671875000 ,-978.004028320312 
0.237,0.026,-2.7,-2.4,0.182430299675 ,0.274919168298 ,0.301537906716 ,-967.121215820312 ,-978.190063476562 
0.237,0.079,-2.7,-2.4,0.180600271141 ,0.272850885623 ,0.297933890299 ,-967.158081054688 ,-978.378356933594 
0.237,0.132,-2.7,-2.4,0.183433943550 ,0.275801562249 ,0.303279031124 ,-967.109985351562 ,-978.450927734375 
0.237,0.184,-2.7,-2.4,0.182511153008 ,0.274899787877 ,0.301432935023 ,-967.134338378906 ,-978.352294921875 
0.237,0.237,-2.7,-2.4,0.184325405067 ,0.276707077342 ,0.304847702911 ,-967.105346679688 ,-977.997558593750 
0.237,0.289,-2.7,-2.4,0.181832895391 ,0.274127750996 ,0.300214479502 ,-967.137084960938 ,-978.586608886719 
0.237,0.342,-2.7,-2.4,0.181671124797 ,0.274043652159 ,0.300041719181 ,-967.135131835938 ,-978.153198242188 
0.237,0.395,-2.7,-2.4,0.181158782765 ,0.273478545526 ,0.299050717690 ,-967.143859863281 ,-978.570495605469 
0.237,0.447,-2.7,-2.4,0.181815623238 ,0.274102093859 ,0.300223804145 ,-967.133972167969 ,-978.557006835938 
0.237,0.5,-2.7,-2.4,0.183473112396 ,0.275840362412 ,0.303288473779 ,-967.115234375000 ,-978.002319335938 
