shift_a,shift_b,shift_c,fgw_distance,relaxed_energy
0.000,0.000,-2.400,0.274545390156,-978.951843261719
0.000,0.042,-2.400,0.272651191216,-978.338500976562
0.000,0.083,-2.400,0.274097595845,-978.581604003906
0.000,0.125,-2.400,0.276292316022,-977.989562988281
0.000,0.167,-2.400,0.274355083999,-977.983154296875
0.000,0.208,-2.400,0.276292316022,-977.984985351562
0.000,0.250,-2.400,0.274097595845,-978.578796386719
0.000,0.292,-2.400,0.272651191216,-978.334594726562
0.000,0.333,-2.400,0.274545390156,-978.949096679688
0.000,0.375,-2.400,0.272651191216,-978.341064453125
0.000,0.417,-2.400,0.274097595845,-978.578308105469
0.000,0.458,-2.400,0.276292316022,-977.989562988281
0.000,0.500,-2.400,0.274355083999,-977.982910156250
0.000,0.542,-2.400,0.276292316022,-977.989685058594
0.000,0.583,-2.400,0.274097595845,-978.593383789062
0.000,0.625,-2.400,0.272651191216,-978.339477539062
0.000,0.667,-2.400,0.274545390156,-978.951965332031
0.000,0.708,-2.400,0.272651191216,-978.355895996094
0.000,0.750,-2.400,0.274097595845,-978.578247070312
0.000,0.792,-2.400,0.276292316022,-977.989501953125
0.000,0.833,-2.400,0.274355083999,-977.976196289062
0.000,0.875,-2.400,0.276292316022,-977.989562988281
0.000,0.917,-2.400,0.274097595845,-978.581848144531
0.000,0.958,-2.400,0.272651191216,-978.338317871094
0.042,0.000,-2.400,0.276267505736,-978.065673828125
0.042,0.042,-2.400,0.273020684518,-978.552978515625
0.042,0.083,-2.400,0.274395134740,-978.156311035156
0.042,0.125,-2.400,0.273107080028,-978.526184082031
0.042,0.167,-2.400,0.272625234441,-978.555053710938
0.042,0.208,-2.400,0.275695952602,-977.734680175781
0.042,0.250,-2.400,0.274198320980,-978.043151855469
0.042,0.292,-2.400,0.275600466825,-978.319946289062
0.042,0.333,-2.400,0.276267505736,-978.065551757812
0.042,0.375,-2.400,0.273020684518,-978.554138183594
0.042,0.417,-2.400,0.274395134740,-978.156494140625
0.042,0.458,-2.400,0.273107080028,-978.580261230469
0.042,0.500,-2.400,0.272625234440,-978.559997558594
0.042,0.542,-2.400,0.275695952602,-977.729736328125
0.042,0.583,-2.400,0.274198320980,-978.178466796875
0.042,0.625,-2.400,0.275600466825,-978.319885253906
0.042,0.667,-2.400,0.276267505736,-978.065734863281
0.042,0.708,-2.400,0.273020684518,-978.538452148438
0.042,0.750,-2.400,0.274395134740,-978.156494140625
0.042,0.792,-2.400,0.273107080028,-978.526123046875
0.042,0.833,-2.400,0.272625234441,-978.555419921875
0.042,0.875,-2.400,0.275695952602,-977.729431152344
0.042,0.917,-2.400,0.274198320980,-978.036071777344
0.042,0.958,-2.400,0.275600466825,-978.320068359375
0.083,0.000,-2.400,0.274146944561,-978.156188964844
0.083,0.042,-2.400,0.274238774372,-978.388000488281
0.083,0.083,-2.400,0.277464570486,-978.525268554688
0.083,0.125,-2.400,0.274238774372,-978.365112304688
0.083,0.167,-2.400,0.274146944561,-978.156738281250
0.083,0.208,-2.400,0.274304969577,-978.126831054688
0.083,0.250,-2.400,0.272252876747,-978.125854492188
0.083,0.292,-2.400,0.274304969577,-978.126098632812
0.083,0.333,-2.400,0.274146944561,-978.192565917969
0.083,0.375,-2.400,0.274238774372,-978.387817382812
0.083,0.417,-2.400,0.277464570486,-978.528076171875
0.083,0.458,-2.400,0.274238774372,-978.369995117188
0.083,0.500,-2.400,0.274146944561,-978.165283203125
0.083,0.542,-2.400,0.274304969577,-978.156250000000
0.083,0.583,-2.400,0.272252876747,-978.122375488281
0.083,0.625,-2.400,0.274304969577,-978.126159667969
0.083,0.667,-2.400,0.274146944561,-978.156066894531
0.083,0.708,-2.400,0.274238774372,-978.377441406250
0.083,0.750,-2.400,0.277464570486,-978.517883300781
0.083,0.792,-2.400,0.274238774372,-978.387878417969
0.083,0.833,-2.400,0.274146944561,-978.182617187500
0.083,0.875,-2.400,0.274304969576,-978.126770019531
