shift_a,shift_b,shift_c,fgw_distance,relaxed_energy
0.000,0.000,-1.300,0.220726872496,-489.073608398438
0.000,0.043,-1.300,0.221032487640,-489.075317382812
0.000,0.087,-1.300,0.221098071447,-489.067565917969
0.000,0.130,-1.300,0.221266589762,-489.070678710938
0.000,0.174,-1.300,0.220971844587,-489.074523925781
0.000,0.217,-1.300,0.221375791492,-489.055267333984
0.000,0.261,-1.300,0.221589264666,-489.049560546875
0.000,0.304,-1.300,0.221176577867,-489.068725585938
0.000,0.348,-1.300,0.221055285357,-489.073364257812
0.000,0.391,-1.300,0.221290446497,-489.067993164062
0.000,0.435,-1.300,0.221066867841,-489.072265625000
0.000,0.478,-1.300,0.220785343947,-489.081787109375
0.000,0.522,-1.300,0.220785343947,-489.081420898438
0.000,0.565,-1.300,0.221066867841,-489.072265625000
0.000,0.609,-1.300,0.221290446497,-489.067932128906
0.000,0.652,-1.300,0.221055285357,-489.073364257812
0.000,0.696,-1.300,0.221176577867,-489.068725585938
0.000,0.739,-1.300,0.221589264666,-489.049224853516
0.000,0.783,-1.300,0.221375791492,-489.055267333984
0.000,0.826,-1.300,0.220971844587,-489.074523925781
0.000,0.870,-1.300,0.221266589762,-489.070343017578
0.000,0.913,-1.300,0.221098071447,-489.067565917969
0.000,0.957,-1.300,0.221032487640,-489.074981689453
0.043,0.000,-1.300,0.221032487640,-489.074951171875
0.043,0.043,-1.300,0.221191268498,-489.069824218750
0.043,0.087,-1.300,0.221038387618,-489.073577880859
0.043,0.130,-1.300,0.220757343894,-489.081848144531
0.043,0.174,-1.300,0.220827120185,-489.081115722656
0.043,0.217,-1.300,0.221105071894,-489.069458007812
0.043,0.261,-1.300,0.221361980613,-489.057800292969
0.043,0.304,-1.300,0.221052349992,-489.073883056641
0.043,0.348,-1.300,0.221140930177,-489.068054199219
0.043,0.391,-1.300,0.221586818684,-489.049224853516
0.043,0.435,-1.300,0.221398130875,-489.054534912109
0.043,0.478,-1.300,0.220928207977,-489.074829101562
0.043,0.522,-1.300,0.221207781486,-489.072326660156
0.043,0.565,-1.300,0.221056186288,-489.070709228516
0.043,0.609,-1.300,0.220950075780,-489.076019287109
0.043,0.652,-1.300,0.220728552620,-489.085723876953
0.043,0.696,-1.300,0.221119126742,-489.073852539062
0.043,0.739,-1.300,0.221162703186,-489.064788818359
0.043,0.783,-1.300,0.221264546894,-489.069366455078
0.043,0.826,-1.300,0.221004179907,-489.074554443359
0.043,0.870,-1.300,0.221337973378,-489.055236816406
0.043,0.913,-1.300,0.221555213585,-489.050445556641
0.043,0.957,-1.300,0.221191268498,-489.069824218750
0.087,0.000,-1.300,0.221098071447,-489.067901611328
0.087,0.043,-1.300,0.221555213585,-489.050415039062
0.087,0.087,-1.300,0.221395336080,-489.056030273438
0.087,0.130,-1.300,0.220878068998,-489.076049804688
0.087,0.174,-1.300,0.221099392645,-489.074584960938
0.087,0.217,-1.300,0.221035780636,-489.073791503906
0.087,0.261,-1.300,0.220891165706,-489.076293945312
0.087,0.304,-1.300,0.220736710478,-489.082366943359
0.087,0.348,-1.300,0.221198800672,-489.072631835938
0.087,0.391,-1.300,0.221245270013,-489.055480957031
0.087,0.435,-1.300,0.221217226403,-489.068115234375
0.087,0.478,-1.300,0.221023162163,-489.075561523438
0.087,0.522,-1.300,0.221303341435,-489.054809570312
0.087,0.565,-1.300,0.221486162065,-489.052276611328
0.087,0.609,-1.300,0.221180815754,-489.070953369141
0.087,0.652,-1.300,0.220978856852,-489.076477050781
0.087,0.696,-1.300,0.221089022649,-489.071716308594
0.087,0.739,-1.300,0.221015822959,-489.074401855469
0.087,0.783,-1.300,0.220756932397,-489.081481933594
0.087,0.826,-1.300,0.220874334890,-489.080474853516
