group,idx_in_group,grid_idx,shift_a,shift_b,shift_c,fgw_score,relaxed_energy_eV,relax_steps,converged
proxy_top8,0,50,0.75,0.25,-2.8000000000000003,0.2639977490152044,-978.2987060546875,92,True
proxy_top8,1,22,0.25,0.75,-2.8000000000000003,0.2639977490152045,-978.2965087890625,91,True
proxy_top8,2,44,0.625,0.5,-2.8000000000000003,0.2649692306559471,-978.57373046875,82,True
proxy_top8,3,56,0.875,0.0,-2.8000000000000003,0.26496923065594724,-978.58447265625,89,True
proxy_top8,4,8,0.125,0.0,-2.8000000000000003,0.26496923065594735,-978.5812377929688,88,True
proxy_top8,5,39,0.5,0.875,-2.8000000000000003,0.2650065470707725,-978.2706909179688,101,True
proxy_top8,6,3,0.0,0.375,-2.8000000000000003,0.26500654707093424,-978.2705688476562,101,True
proxy_top8,7,11,0.125,0.375,-2.8000000000000003,0.2659000150438513,-978.368408203125,94,True
mid_nonproxy,8,2,0.0,0.25,-2.8000000000000003,0.26755078317378844,-978.4457397460938,109,True
mid_nonproxy,9,51,0.75,0.375,-2.8000000000000003,0.2675920190536156,-978.4175415039062,100,True
mid_nonproxy,10,23,0.25,0.875,-2.8000000000000003,0.2675920190536156,-978.41796875,100,True
mid_nonproxy,11,48,0.75,0.0,-2.8000000000000003,0.2676171596898566,-974.2315673828125,55,True
mid_nonproxy,12,20,0.25,0.5,-2.8000000000000003,0.2676171596898568,-974.2315673828125,55,True
mid_nonproxy,13,19,0.25,0.375,-2.8000000000000003,0.26774347382676855,-977.9534912109375,91,True
mid_nonproxy,14,58,0.875,0.25,-2.8000000000000003,0.2678594448530269,-977.9830932617188,106,True
mid_nonproxy,15,14,0.125,0.75,-2.8000000000000003,0.26785944485302726,-977.9839477539062,107,True
high_nonproxy,16,29,0.375,0.625,-2.8000000000000003,0.2697178022918032,-974.3956909179688,57,True
high_nonproxy,17,57,0.875,0.125,-2.8000000000000003,0.26971780229180325,-974.395751953125,57,True
high_nonproxy,18,31,0.375,0.875,-2.8000000000000003,0.26988070789651286,-977.7838134765625,97,True
high_nonproxy,19,60,0.875,0.5,-2.8000000000000003,0.27082213588369086,-978.3921508789062,108,True
high_nonproxy,20,37,0.5,0.625,-2.8000000000000003,0.2708503557624231,-974.1834716796875,44,True
high_nonproxy,21,7,0.0,0.875,-2.8000000000000003,0.2708503557624233,-974.1834716796875,44,True
high_nonproxy,22,35,0.5,0.375,-2.8000000000000003,0.27085035576242344,-974.1834716796875,44,True
high_nonproxy,23,18,0.25,0.25,-2.8000000000000003,0.27252319339873854,-978.223876953125,114,True
