group,idx_in_group,grid_idx,shift_a,shift_b,shift_c,fgw_score,relaxed_energy_eV,relax_steps,converged
proxy_top8,0,32,0.5,0,-2.6,0.26345848,-977.6787109,93,TRUE
proxy_top8,1,4,0,0.5,-2.6,0.26345848,-977.6802979,94,TRUE
proxy_top8,2,42,0.625,0.25,-2.6,0.263495586,-977.8103027,123,TRUE
proxy_top8,3,30,0.375,0.75,-2.6,0.263495586,-978.9744873,160,TRUE
proxy_top8,4,14,0.125,0.75,-2.6,0.263495586,-978.9744263,165,TRUE
proxy_top8,5,58,0.875,0.25,-2.6,0.263495586,-978.9709473,168,TRUE
proxy_top8,6,17,0.25,0.125,-2.6,0.263509846,-977.7537231,98,TRUE
proxy_top8,7,55,0.75,0.875,-2.6,0.263509846,-977.7089844,167,TRUE
middle_random_8,8,19,0.25,0.375,-2.6,0.263509846,-978.9249268,148,TRUE
middle_random_8,9,53,0.75,0.625,-2.6,0.263509846,-977.7515869,96,TRUE
middle_random_8,10,15,0.125,0.875,-2.6,0.26351868,-978.1845703,102,TRUE
middle_random_8,11,54,0.75,0.75,-2.6,0.264203738,-978.2088013,99,TRUE
middle_random_8,12,8,0.125,0,-2.6,0.264214213,-978.156311,102,TRUE
middle_random_8,13,1,0,0.125,-2.6,0.264367922,-977.8340454,97,TRUE
middle_random_8,14,52,0.75,0.5,-2.6,0.264369998,-979.3014526,110,TRUE
middle_random_8,15,12,0.125,0.5,-2.6,0.264453895,-977.7302856,163,TRUE
fgw_highest_8,16,10,0.125,0.25,-2.6,0.265779061,-978.2923584,155,TRUE
fgw_highest_8,17,46,0.625,0.75,-2.6,0.265779061,-978.2859497,160,TRUE
fgw_highest_8,18,23,0.25,0.875,-2.6,0.265795017,-978.206665,111,TRUE
fgw_highest_8,19,21,0.25,0.625,-2.6,0.265795017,-978.2098999,115,TRUE
fgw_highest_8,20,51,0.75,0.375,-2.6,0.265795017,-978.2055054,110,TRUE
fgw_highest_8,21,49,0.75,0.125,-2.6,0.265795017,-978.2084961,117,TRUE
