case,shift_a,shift_b,shift_c,fgw_score
1,0.125,0.000,-3.100,0.242224288673
2,0.000,0.875,-3.100,0.242224288673
3,0.875,0.125,-3.100,0.242224288673
4,0.625,0.125,-3.100,0.242347812244
5,0.250,0.625,-3.100,0.242347812244
6,0.125,0.250,-3.100,0.242347812244
7,0.500,0.750,-3.100,0.242480396450
8,0.750,0.750,-3.100,0.242480396450
9,0.750,0.500,-3.100,0.242480396450
10,0.500,0.000,-3.100,0.242664708534
11,0.000,0.375,-3.100,0.242998838846
12,0.250,0.875,-3.100,0.243419905119
13,0.875,0.750,-3.100,0.243542660896
14,0.500,0.375,-3.100,0.243583504977
15,0.750,0.875,-3.100,0.244354127029
16,0.625,0.250,-3.100,0.244636156573
17,0.125,0.625,-3.100,0.244636156573
18,0.500,0.875,-3.100,0.245357718834
19,0.875,0.625,-3.100,0.245357718834
20,0.625,0.500,-3.100,0.245357718834
21,0.125,0.375,-3.100,0.245526588514
22,0.500,0.125,-3.100,0.245526588514
23,0.375,0.500,-3.100,0.245526588514
24,0.000,0.000,-3.100,0.246044439286
