case,shift_a,shift_b,shift_c,fgw_score
1,0.750,0.250,-2.700,0.272252876747
2,0.250,0.750,-2.700,0.272252876747
3,0.625,0.500,-2.700,0.272625234441
4,0.375,0.500,-2.700,0.272625234441
5,0.875,0.000,-2.700,0.272625234441
6,0.125,0.000,-2.700,0.272625234441
7,0.500,0.875,-2.700,0.272651191216
8,0.000,0.375,-2.700,0.272651191216
9,0.000,0.625,-2.700,0.272651191216
10,0.625,0.875,-2.700,0.273107080028
11,0.000,0.750,-2.700,0.274097595845
12,0.625,0.750,-2.700,0.274198320980
13,0.750,0.875,-2.700,0.274304969576
14,0.875,0.250,-2.700,0.274395134740
15,0.375,0.625,-2.700,0.275600466825
16,0.625,0.000,-2.700,0.276267505736
17,0.125,0.500,-2.700,0.276267505736
18,0.875,0.500,-2.700,0.276267505736
19,0.500,0.625,-2.700,0.276292316022
20,0.000,0.125,-2.700,0.276292316022
21,0.000,0.875,-2.700,0.276292316022
22,0.500,0.375,-2.700,0.276292316022
23,0.250,0.250,-2.700,0.277464570486
24,0.750,0.750,-2.700,0.277464570486
