case,shift_a,shift_b,shift_c,fgw_score
1,0.250,0.750,-1.400,0.220726872496
2,0.250,0.250,-1.400,0.220726872496
3,0.750,0.750,-1.400,0.220726872496
4,0.000,0.000,-1.400,0.220726872496
5,0.500,0.000,-1.400,0.220726872496
6,0.000,0.500,-1.400,0.220726872496
7,0.500,0.500,-1.400,0.220726872496
8,0.750,0.250,-1.400,0.220726872496
9,0.375,0.875,-1.400,0.221030198070
10,0.125,0.125,-1.400,0.221030198070
11,0.375,0.125,-1.400,0.221030198070
12,0.000,0.625,-1.400,0.221298299417
13,0.125,0.000,-1.400,0.221298299417
14,0.750,0.875,-1.400,0.221298299417
15,0.875,0.000,-1.400,0.221298299417
16,0.625,0.250,-1.400,0.221298299417
17,0.250,0.000,-1.400,0.221639639158
18,0.500,0.750,-1.400,0.221639639158
19,0.000,0.750,-1.400,0.221639639158
20,0.000,0.250,-1.400,0.221639639158
21,0.250,0.500,-1.400,0.221639639158
22,0.500,0.250,-1.400,0.221639639158
23,0.750,0.000,-1.400,0.221639639158
24,0.750,0.500,-1.400,0.221639639158
